user,brand,model,start_year,curr_year,end_year,last_scraped
chris,jeep,avenger,2005.0,2005.0,2024.0,not yet scraped
chris,jeep,cherokee,2005.0,2005.0,2024.0,not yet scraped
chris,jeep,cj-5,2005.0,2005.0,2024.0,not yet scraped
chris,jeep,cj-7,2005.0,2005.0,2024.0,not yet scraped
chris,jeep,cj-8,2005.0,2005.0,2024.0,not yet scraped
chris,jeep,comanche,2005.0,2005.0,2024.0,not yet scraped
chris,jeep,commander,2005.0,2005.0,2024.0,not yet scraped
chris,jeep,compass,2005.0,2005.0,2024.0,not yet scraped
chris,jeep,gladiator,2005.0,2005.0,2024.0,not yet scraped
chris,jeep,grand-cherokee,2005.0,2005.0,2024.0,not yet scraped
chris,jeep,liberty,2005.0,2005.0,2024.0,not yet scraped
chris,jeep,patriot,2005.0,2005.0,2024.0,not yet scraped
chris,jeep,renegade,2005.0,2005.0,2024.0,not yet scraped
chris,jeep,wagoneer,2005.0,2005.0,2024.0,not yet scraped
chris,jeep,willys,2005.0,2005.0,2024.0,not yet scraped
chris,jeep,wrangler,2005.0,2005.0,2024.0,not yet scraped
chris,jeep,sonstige,2005.0,2005.0,2024.0,not yet scraped
christopher,skoda,105,2005.0,2005.0,2024.0,not yet scraped
christopher,skoda,120,2005.0,2005.0,2024.0,not yet scraped
christopher,skoda,130,2005.0,2005.0,2024.0,not yet scraped
christopher,skoda,135,2005.0,2005.0,2024.0,not yet scraped
christopher,skoda,citigo,2005.0,2005.0,2024.0,not yet scraped
christopher,skoda,enyaq,2005.0,2005.0,2024.0,not yet scraped
christopher,skoda,fabia,2005.0,2005.0,2024.0,not yet scraped
christopher,skoda,favorit,2005.0,2005.0,2024.0,not yet scraped
christopher,skoda,felicia,2005.0,2005.0,2024.0,not yet scraped
christopher,skoda,forman,2005.0,2005.0,2024.0,not yet scraped
christopher,skoda,kamiq,2005.0,2005.0,2024.0,not yet scraped
christopher,skoda,karoq,2005.0,2005.0,2024.0,not yet scraped
christopher,skoda,kodiaq,2005.0,2005.0,2024.0,not yet scraped
christopher,skoda,octavia,2005.0,2005.0,2024.0,not yet scraped
christopher,skoda,rapid%2Fspaceback,2005.0,2005.0,2024.0,not yet scraped
christopher,skoda,roomster,2005.0,2005.0,2024.0,not yet scraped
christopher,skoda,scala,2005.0,2005.0,2024.0,not yet scraped
christopher,opel,adam,2005.0,2005.0,2024.0,not yet scraped
christopher,opel,agila,2005.0,2005.0,2024.0,not yet scraped
christopher,opel,ampera,2005.0,2005.0,2024.0,not yet scraped
christopher,opel,antara,2005.0,2005.0,2024.0,not yet scraped
christopher,opel,arena,2005.0,2005.0,2024.0,not yet scraped
christopher,opel,ascona,2005.0,2005.0,2024.0,not yet scraped
christopher,opel,astra,2005.0,2005.0,2024.0,not yet scraped
christopher,opel,calibra,2005.0,2005.0,2024.0,not yet scraped
christopher,opel,campo,2005.0,2005.0,2024.0,not yet scraped
christopher,opel,cascada,2005.0,2005.0,2024.0,not yet scraped
christopher,opel,combo,2005.0,2005.0,2024.0,not yet scraped
christopher,opel,combo-life,2005.0,2005.0,2024.0,not yet scraped
christopher,opel,combo-e,2005.0,2005.0,2024.0,not yet scraped
christopher,opel,combo-e-life,2005.0,2005.0,2024.0,not yet scraped
christopher,opel,commodore,2005.0,2005.0,2024.0,not yet scraped
christopher,opel,corsa,2005.0,2005.0,2024.0,not yet scraped
christopher,opel,corsa-e,2005.0,2005.0,2024.0,not yet scraped
christopher,opel,crossland,2005.0,2005.0,2024.0,not yet scraped
christopher,opel,crossland-x,2005.0,2005.0,2024.0,not yet scraped
christopher,opel,diplomat,2005.0,2005.0,2024.0,not yet scraped
christopher,opel,frontera,2005.0,2005.0,2024.0,not yet scraped
christopher,opel,grandland-x,2005.0,2005.0,2024.0,not yet scraped
christopher,opel,gt,2005.0,2005.0,2024.0,not yet scraped
christopher,opel,insignia,2005.0,2005.0,2024.0,not yet scraped
christopher,opel,kadett,2005.0,2005.0,2024.0,not yet scraped
christopher,opel,karl,2005.0,2005.0,2024.0,not yet scraped
christopher,opel,manta,2005.0,2005.0,2024.0,not yet scraped
christopher,opel,meriva,2005.0,2005.0,2024.0,not yet scraped
christopher,opel,mokka,2005.0,2005.0,2024.0,not yet scraped
christopher,opel,mokka-x,2005.0,2005.0,2024.0,not yet scraped
christopher,opel,mokka-e,2005.0,2005.0,2024.0,not yet scraped
christopher,opel,monterey,2005.0,2005.0,2024.0,not yet scraped
christopher,opel,monza,2005.0,2005.0,2024.0,not yet scraped
christopher,opel,movano,2005.0,2005.0,2024.0,not yet scraped
christopher,opel,movano-e,2005.0,2005.0,2024.0,not yet scraped
christopher,opel,omega,2005.0,2005.0,2024.0,not yet scraped
christopher,opel,rekord,2005.0,2005.0,2024.0,not yet scraped
christopher,opel,rocks-e,2005.0,2005.0,2024.0,not yet scraped
christopher,opel,signum,2005.0,2005.0,2024.0,not yet scraped
christopher,opel,sintra,2005.0,2005.0,2024.0,not yet scraped
christopher,opel,speedster,2005.0,2005.0,2024.0,not yet scraped
christopher,opel,tigra,2005.0,2005.0,2024.0,not yet scraped
christopher,opel,vectra,2005.0,2005.0,2024.0,not yet scraped
christopher,opel,vivaro,2005.0,2005.0,2024.0,not yet scraped
christopher,opel,vivaro-e,2005.0,2005.0,2024.0,not yet scraped
christopher,opel,zafira,2005.0,2005.0,2024.0,not yet scraped
christopher,opel,zafira-life,2005.0,2005.0,2024.0,not yet scraped
christopher,opel,zafira-tourer,2005.0,2005.0,2024.0,not yet scraped
christopher,porsche,356,2005.0,2005.0,2024.0,not yet scraped
christopher,porsche,550,2005.0,2005.0,2024.0,not yet scraped
christopher,porsche,718-(alle),2005.0,2005.0,2024.0,not yet scraped
christopher,porsche,911er-(alle),2005.0,2005.0,2024.0,not yet scraped
christopher,porsche,912,2005.0,2005.0,2024.0,not yet scraped
christopher,porsche,914,2005.0,2005.0,2024.0,not yet scraped
christopher,porsche,918,2005.0,2005.0,2024.0,not yet scraped
christopher,porsche,924,2005.0,2005.0,2024.0,not yet scraped
christopher,porsche,928,2005.0,2005.0,2024.0,not yet scraped
christopher,porsche,944,2005.0,2005.0,2024.0,not yet scraped
